Dates,Location,State,Notes
6/6,Tucson,AZ,Overnight at Catalina State Park — Tesla charging in Tucson
6/7–6/9,Grand Canyon,AZ,Mather Campground — Tesla Supercharger in Tusayan
6/9–6/10,Los Angeles,CA,Visit Laurent
6/10–6/11,Big Sur,CA,Camp at Limekiln State Park — Tesla Supercharging in Monterey/Carmel
6/11–6/12,Redwoods,CA,Prairie Creek Redwoods SP — Charging in Eureka
6/12–6/14,Colfax,WA,Visit Stefan Morris (2 full days)
6/14–6/15,Oregon Coast,OR,Beachfront camping at Harris Beach State Park — Supercharging in Grants Pass
6/15–6/16,Olympia,WA,Visit Brian
6/16–6/17,Seattle,WA,Visit Troy
6/17–6/19,Yellowstone,MT/WY,Canyon Campground — Charging in West Yellowstone
6/19–6/20,Salt Lake City,UT,Visit Brady Covington
6/21–6/23,Provo,UT,Visit Erin Lane
6/23–6/24,Denver,CO,Visit Josh
6/24–6/25,Fort Collins,CO,Visit Caleb Blakeman
6/25–6/26,Fargo,ND,Overnight at Buffalo River State Park — Charging in Fargo
6/26–6/27,Sioux Falls,SD,Good Earth State Park — Supercharger in Sioux Falls
6/27–7/1,Lincoln,NE,Visit Parents & Hayden (4 days)
7/1,Chicago,IL,Visit Connor McBride
7/2,Milwaukee,WI,Camping at Kettle Moraine State Forest — Charging in Milwaukee
7/3,Minneapolis,MN,Camp at Afton State Park — Charging in Woodbury
7/4,Traverse City,MI,Camp at Sleeping Bear Dunes — Charging in Traverse City
7/5,Columbus,OH,Visit Cameron Hynes
7/6,Terre Haute,IN,Visit Jack Lavey
7/7,Philadelphia,PA,Fairmount Park overnight — Charging in Philly
7/8,Albany,NY,Visit Philip Dalton (optional)
7/9,Montpelier / Concord,VT/NH,"Camping at Quechee State Park — Charging in Lebanon, NH"
7/10–7/11,Bar Harbor,ME,Blackwoods Campground — Charging in Ellsworth
7/11–7/15,Hartford,CT,Visit Deanna (4 days)
7/15–7/16,Boston → Wilmington,MA/RI/NJ/DE,Cape Cod detour or forest overnight — Charging along I-95
7/16–7/17,Harpers Ferry,WV,"Camp at Harpers Ferry KOA — Charging in Frederick, MD"
7/17–7/18,Raleigh,NC,Visit Brad Gross
7/18–7/22,Monroe,NC,Visit Nana & Pawpaw
7/22–7/23,Asheville,NC,Mount Pisgah Campground — Supercharging in Asheville
7/23–7/24,Spartanburg,SC,Visit Max Mosley
7/24–7/25,Savannah,GA,Skidaway Island State Park — Charging in Savannah
7/25–7/26,Sarasota,FL,Visit John & Sarah
7/26–7/27,Tallahassee,FL,Stay at Ochlockonee River State Park — Charging in Tallahassee
7/27–7/28,Knoxville,TN,Visit Barton
7/28–7/29,Mobile,AL,Blakeley State Park — Charging in Spanish Fort
7/29–7/30,New Orleans,LA,Jean Lafitte Park nearby — Charging in NOLA
7/30–7/31,Jackson,MS,LeFleur's Bluff State Park — Charging in Jackson
8/1–8/4,Austin,TX,Trip ends — home
