Dates,Location,State,Notes
6/6,Corpus Christi,TX,Trip begins – depart early morning
6/6–6/7,Tucson,AZ,Drive day + overnight recharge
6/7–6/9,Grand Canyon,AZ,1.5-day scenic visit
6/9–6/10,Los Angeles,CA,Visit Laurent (1 day)
6/10–6/11,Santa Barbara → Big Sur,CA,Coastal beach drive north
6/11–6/12,Redwoods,CA,1.5-day stay in the forest
6/12–6/14,Colfax,WA,Visit Stefan Morris (2 full days)
6/14–6/15,Oregon Coast,OR,1 full day beach stop
6/15–6/16,Olympia,WA,Visit Brian
6/16–6/17,Seattle,WA,Visit Troy before 6/20 camping
6/17–6/19,Yellowstone,MT/WY,2-night park stay
6/19–6/20,Salt Lake City,UT,Visit Brady Covington
6/21–6/23,Provo,UT,Visit Erin Lane (after her travel blackout)
6/23–6/24,Denver,CO,Visit Josh
6/24–6/25,Fort Collins,CO,Visit Caleb Blakeman
6/25–6/26,Fargo,ND,North Dakota overnight
6/26–6/27,Sioux Falls,SD,South Dakota stop
6/27–7/1,Lincoln,NE,Visit Parents & Hayden (4 days)
7/1,Chicago,IL,Visit Connor McBride
7/2,Milwaukee,WI,Wisconsin stopover
7/3,Minneapolis,MN,Minnesota drive-through
7/4,Traverse City,MI,"Scenic lakeshore, Michigan coverage"
7/5,Columbus,OH,Visit Cameron Hynes
7/6,Terre Haute,IN,Visit Jack Lavey
7/7,Philadelphia,PA,City stop / route setup
7/8,Albany,NY,Visit Philip Dalton (optional)
7/9,Montpelier / Concord,VT/NH,Check off New England states
7/10–7/11,Bar Harbor,ME,1.5-day scenic East Coast top
7/11–7/15,Hartford,CT,Visit Deanna for July 4th (4 days)
7/15–7/16,Boston,MA,Wrap-up Northeast
7/16–7/17,Providence,RI,Quick state check-in
7/17–7/18,Newark,NJ,Southbound entry
7/18–7/19,Wilmington,DE,Check off DE
7/19–7/20,Harpers Ferry,WV,Scenic + historic
7/20–7/21,Raleigh,NC,Visit Brad Gross
7/21–7/25,Monroe,NC,Visit Nana & Pawpaw — birthday 7/21
7/25–7/26,Asheville,NC,Appalachian Trail area after Monroe
7/26–7/27,Spartanburg,SC,Visit Max Mosley
7/27–7/28,Savannah,GA,Lowcountry drive
7/28–7/29,Sarasota,FL,Visit John & Sarah
7/29–7/30,Tallahassee,FL,Florida panhandle drive
7/30–7/31,Knoxville,TN,Visit Barton after Florida
7/31–8/1,Mobile,AL,Gulf Coast rest stop
8/1–8/2,New Orleans,LA,Jazz & culture stop
8/2–8/3,Jackson,MS,Southern swing
8/3–8/4,Austin,TX,Final return — trip ends at 60 days
