Dates,Location,State,Notes
6/6,Corpus Christi,TX,Trip begins – depart early morning
6/6–6/7,Tucson,AZ,
6/7–6/9,Grand Canyon,AZ,1.5-day scenic visit
6/9–6/10,Los Angeles,CA,Visit Laurent
6/10–6/11,Santa Barbara → Big Sur,CA,
6/11–6/12,Redwoods,CA,1.5-day forest stay
6/12–6/14,Colfax,WA,Visit Stefan Morris (2 full days)
6/14–6/15,Oregon Coast,OR,1 full day beach stop
6/15–6/16,Olympia,WA,Visit Brian
6/16–6/17,Seattle,WA,Visit Troy
6/17–6/19,Yellowstone,MT/WY,2-night park stay
6/19–6/20,Salt Lake City,UT,Visit Brady Covington
6/21–6/23,Provo,UT,Visit Erin Lane
6/23–6/24,Denver,CO,Visit Josh
6/24–6/25,Fort Collins,CO,Visit Caleb Blakeman
6/25–6/26,Fargo,ND,
6/26–6/27,Sioux Falls,SD,
6/27–7/1,Lincoln,NE,Visit Parents & Hayden (4 days)
7/1,Chicago,IL,Visit Connor McBride
7/2,Milwaukee,WI,
7/3,Minneapolis,MN,
7/4,Traverse City,MI,
7/5,Columbus,OH,Visit Cameron Hynes
7/6,Terre Haute,IN,Visit Jack Lavey
7/7,Philadelphia,PA,
7/8,Albany,NY,Visit Philip Dalton (optional)
7/9,Montpelier / Concord,VT/NH,
7/10–7/11,Bar Harbor,ME,1.5-day coastal stay
7/11–7/15,Hartford,CT,Visit Deanna (4 days)
7/15–7/16,Boston,MA,
7/16–7/17,Providence,RI,
7/17–7/18,Newark,NJ,
7/18–7/19,Wilmington,DE,
7/19–7/20,Harpers Ferry,WV,
7/20–7/21,Raleigh,NC,Visit Brad Gross
7/21–7/25,Monroe,NC,Visit Nana & Pawpaw – birthday 7/21
7/25–7/26,Asheville,NC,Appalachian Trail area
7/26–7/27,Spartanburg,SC,Visit Max Mosley
7/27–7/28,Savannah,GA,
7/28–7/29,Sarasota,FL,Visit John & Sarah
7/29–7/30,Tallahassee,FL,
7/30–7/31,Knoxville,TN,Visit Barton
7/31–8/1,Mobile,AL,
8/1–8/2,New Orleans,LA,
8/2–8/3,Jackson,MS,
8/3–8/4,Austin,TX,Trip ends – home
