Date(s),State(s),Key Stop(s) / Activities
June 1,Texas,Start: Corpus Christi
June 2–3,New Mexico,Carlsbad Caverns
June 4,Texas,Fort Stockton overnight
June 5,Texas,El Paso Tesla service
June 6–7,Arizona,"Sedona, Grand Canyon (Desert View Watchtower)"
June 8,Utah,Zion National Park (first Utah stop)
June 9,Nevada → California,Drove through Las Vegas → Los Angeles
June 9–13,California,"4 days in Los Angeles, then PCH north"
June 14,California,Redwoods National Park
June 15,Oregon,Cannon Beach
June 16,Washington,"Verlot, Mount Baker-Snoqualmie"
June 17,Washington,Sequim
June 18,Washington,Seattle (Brian)
June 19,Washington,Quincy hike
June 20,Idaho,Coeur d’Alene (camped overnight)
June 21,Montana,Bozeman
June 22,Montana,Big Sky (summited Lone Mountain)
June 23–24,Wyoming,Yellowstone National Park
June 25–26,Utah,Salt Lake City → 2-day Provo visit (after Wyoming)
June 27–28,Colorado,"Denver (Josh), Fort Collins (Caleb)"
July 3 (evening),Nebraska,Arrived Lincoln for 4-day stay
July 4,Iowa → South Dakota,Council Bluffs → Badlands
July 5,North Dakota,Fargo (dinner + overnight)
July 6,Minnesota,Minneapolis
July 7,Wisconsin,Mars Cheese Castle (Kenosha)
July 8,Illinois,"Chicago (Wrigleyville, met Connor McBride)"
July 9,Indiana,"Terre Haute (Jack Lavey), Turkey Run State Park"
July 10,Ohio,"John Bryan SP, Clifton Gorge"
July 11–12,Ohio,2 nights in Cincinnati (Cameron Hynes)
July 13,Pennsylvania,Erie + Lake Erie
July 14,New York,Albany (Phil Dalton)
July 15,Vermont,Green Mountain National Forest
July 16,New Hampshire,White Mountain Visitor Center
July 17–18,Maine,"Bar Harbor, Cadillac Mountain (sunrise hike)"
July 19,Massachusetts,Drove through → Connecticut
July 20–26,Connecticut,Stratford stay with Deanna
July 25,Rhode Island,Watch Hill Point (coastal visit)
