Date,Latitude,Longitude,Speed,Heading,Battery Level,Battery Range,Odometer,Outside Temp,Charging State,State
2025-06-01 08:00:00,27.8006,-97.3964,0,0,85,250,58046,78,Disconnected,Texas
2025-06-01 09:30:00,27.9506,-97.5964,65,45,82,240,58075,82,Disconnected,Texas
2025-06-02 14:15:00,32.1776,-104.5281,55,270,78,230,58180,85,Disconnected,New Mexico
2025-06-03 16:45:00,32.1776,-104.5281,0,0,65,200,58185,88,Charging,New Mexico
2025-06-04 10:30:00,30.8865,-103.0134,70,315,88,270,58245,79,Disconnected,Texas
2025-06-05 12:00:00,31.7619,-106.485,45,290,75,220,58320,85,Disconnected,Texas
2025-06-06 08:15:00,34.8697,-111.7610,60,0,82,240,58420,68,Disconnected,Arizona
2025-06-07 18:30:00,36.0544,-112.1401,35,45,70,210,58485,72,Disconnected,Arizona
2025-06-08 11:45:00,37.2982,-113.0263,40,315,85,250,58540,75,Disconnected,Utah
2025-06-09 14:20:00,34.0522,-118.2437,25,180,78,230,58680,85,Disconnected,California
