Dates,Location,State,Notes
6/6,Corpus Christi,TX,Trip begins – depart early morning
6/6–6/7,Tucson,AZ,Drive day + overnight recharge
6/7–6/9,Grand Canyon,AZ,1.5-day scenic visit
6/9–6/10,Los Angeles,CA,Visit Laurent (1 day)
6/10–6/11,Santa Barbara → Big Sur,CA,Coastal beach drive north
6/11–6/12,Redwoods,CA,1.5-day stay in the forest
6/12–6/14,Colfax,WA,Visit Stefan Morris (2 full days)
6/14–6/15,Oregon Coast,OR,1 full day beach stop
6/15–6/16,Olympia,WA,Visit Brian
6/16–6/17,Seattle,WA,Visit Troy before 6/20 camping
6/17–6/19,Yellowstone,MT/WY,2-night park stay
6/19–6/21,Provo,UT,Visit Erin Lane (2 full days)
6/21–6/22,Salt Lake City,UT,Visit Brady Covington
6/22–6/23,Denver,CO,Visit Josh (aligns with festival timing)
6/23–6/24,Fort Collins,CO,Visit Caleb Blakeman
6/24–6/25,Fargo,ND,North Dakota overnight
6/25–6/26,Sioux Falls,SD,South Dakota stop
6/26–6/30,Lincoln,NE,Visit Parents & Hayden (4 days)
6/30–7/1,Des Moines,IA,Midwest drive buffer
7/1–7/2,Chicago,IL,Lunch with Connor McBride
6/30,Chicago,IL,Visit Connor McBride
7/1,Milwaukee,WI,Wisconsin stopover
7/2,Minneapolis,MN,Minnesota drive-through
7/3,Traverse City,MI,"Scenic lakeshore, Michigan coverage"
7/4,Columbus,OH,Visit Cameron Hynes
7/5,Terre Haute,IN,Visit Jack Lavey
7/4–7/5,Philadelphia,PA,City stop / route setup
7/5–7/6,Albany,NY,Visit Philip Dalton (optional)
7/6–7/7,Montpelier / Concord,VT/NH,Check off New England states
7/7–7/8,Bar Harbor,ME,1.5-day scenic East Coast top
7/8–7/12,Hartford,CT,Visit Deanna for July 4th (4 days)
7/12–7/13,Boston,MA,Wrap-up Northeast
7/13–7/14,Providence,RI,Quick state check-in
7/14–7/15,Newark,NJ,Southbound entry
7/15–7/16,Wilmington,DE,Check off DE
7/16–7/17,Harpers Ferry,WV,Scenic + historic
7/17–7/18,Raleigh,NC,Visit Brad Gross
7/19–7/23,Monroe,NC,Visit Nana & Pawpaw — birthday 7/21
7/23–7/24,Asheville,NC,Appalachian Trail area after Monroe
7/23–7/24,Spartanburg,SC,Visit Max Mosley
7/24–7/25,Savannah,GA,Lowcountry drive
7/25–7/26,Sarasota,FL,Visit John & Sarah
7/26–7/27,Tallahassee,FL,Florida panhandle drive
7/27–7/28,Mobile,AL,Gulf Coast rest stop
7/28–7/29,New Orleans,LA,Jazz & culture stop
7/29–7/30,Jackson,MS,Southern swing
7/30–7/31,Little Rock,AR,Quick overnight
7/31–8/1,Oklahoma City,OK,Final out-of-state visit
8/1–8/4,Austin,TX,Final return — trip ends at 60 days
