"Timestamp (CST)","State","Charging State","Shift State","Battery Level (%)","Usable Battery Level (%)","Battery Range (mi)","Est. Battery Range (mi)","Ideal Battery Range (mi)","Latitude","Longitude","Elevation (m)","Speed (mph)","Power (kW)","Odometer (mi)","Charge Rate (mph)","Current (A)","Charger Power (kW)","Charger Voltage (V)","Charger Phases","Energy Added (kWh)","Rated Range Added (mi)","Ideal Range Added (mi)","Climate","Battery Heater","Inside Temp (°F)","Outside Temp (°F)","Locked","Sentry Mode","Lifetime Energy Used (kWh)","Energy Remaining (kWh)","Pack Current (A)","Pack Voltage (V)","Min Battery Module Temp (°F)","Max Battery Module Temp (°F)"
"2025-08-25 11:54:00","online","Stopped","P","1","1","3.18",,"246.11","30.296724","-97.686470","175","0",,"73730.70",,"0","0.00","2",,"0.00","0.00","0.00","0","0","91.0","85.0","1","0","36709.500","4.58","0.0","317.05","88.0","89.0"
"2025-08-25 11:55:00","online","Stopped","P","1","1","3.18",,"246.11","30.296724","-97.686470","175","0",,"73730.70",,"0","0.00","2",,"0.00","0.00","0.00","0","0","86.0","85.0","1","0","36709.500","4.32","0.0","317.05","88.0","89.0"
"2025-08-25 11:56:00","online","Stopped","P","1","1","3.18",,"246.11","30.296724","-97.686470","175","0",,"73730.70",,"0","0.00","2",,"0.00","0.00","0.00","0","0","87.0","85.0","1","0","36709.500","4.32","-0.5","317.05","88.0","89.0"
"2025-08-25 11:58:00","online","Stopped","P","1","1","3.18",,"246.11","30.296724","-97.686470","175","0",,"73730.70",,"0","0.00","2",,"0.00","0.00","0.00","0","0","87.0","85.0","1","0","36709.500","4.30","-0.4","317.05","88.0","89.0"
"2025-08-25 11:59:00","online","Stopped","P","1","1","3.18",,"246.11","30.296724","-97.686470","175","0",,"73730.70",,"0","0.00","2",,"0.00","0.00","0.00","0","0","88.0","85.0","1","0","36709.500","4.30","-0.4","317.12","88.0","89.0"
"2025-08-25 12:00:00","online","Stopped","P","1","1","3.18",,"246.11","30.296724","-97.686470","175","0",,"73730.70",,"0","0.00","2",,"0.00","0.00","0.00","0","0","88.0","85.0","1","0","36709.500","4.30","-0.4","317.12","88.0","89.0"
"2025-08-25 12:01:00","online","Stopped","P","1","1","3.18",,"246.11","30.296724","-97.686470","175","0",,"73730.70",,"0","0.00","2",,"0.00","0.00","0.00","0","0","89.0","85.0","1","0","36709.500","4.30","-0.4","317.12","87.0","89.0"
"2025-08-25 12:02:00","online","Stopped","P","1","1","3.18",,"246.11","30.296724","-97.686470","175","0",,"73730.70",,"0","0.00","2",,"0.00","0.00","0.00","0","0","89.0","85.0","1","0","36709.500","4.30","-0.4","317.12","87.0","89.0"
"2025-08-25 12:04:00","online","Stopped","P","1","1","3.18",,"246.11","30.296724","-97.686470","175","0",,"73730.70",,"0","0.00","2",,"0.00","0.00","0.00","0","0","89.0","85.0","1","0","36709.500","4.30","-0.4","316.80","87.0","89.0"
"2025-08-25 12:25:00","online","Stopped","P","1","1","3.10",,"246.11","30.296724","-97.686470","175","0",,"73730.70",,"0","0.00","2",,"0.00","0.00","0.00","0","0","90.0","86.0","1","0","36709.520","4.30","0.0","316.85","87.0","88.0"
