"Started At (CST)","Ended At (CST)","Tag","Duration (Minutes)","Starting Location","Starting Saved Location","Starting Latitude","Starting Longitude","Starting Odometer (mi)","Ending Location","Ending Saved Location","Ending Latitude","Ending Longitude","Ending Odometer (mi)","Starting Battery (%)","Ending Battery (%)","Average Inside Temperature (°F)","Average Outside Temperature (°F)","Average Speed (mph)","Max Speed (mph)","Rated Range Used (mi)","Ideal Range Used (mi)","Distance (mi)","Total Energy Used (kWh)","Average Energy Used (Wh/mi)"
"2025-06-03 23:17","2025-06-03 23:19",,"2","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741571","-97.388855","58046.31","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741713","-97.388990","58046.38","62","62","73.36","85.66","4","6","0.92","0.00","0.07","0.24","3429"
"2025-06-03 23:33","2025-06-03 23:39",,"5","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741710","-97.388985","58046.38","4754 South Padre Island Drive, Corpus Christi, Texas 78411, United States",,"27.715542","-97.384630","58048.51","61","60","65.08","86.79","26","40","3.68","0.00","2.09","0.82","392"
"2025-06-03 23:44","2025-06-03 23:59",,"15","4754 South Padre Island Drive, Corpus Christi, Texas 78411, United States",,"27.715542","-97.384630","58048.51","206 North Water Street, Corpus Christi, Texas 78401, United States",,"27.792582","-97.393616","58057.50","60","55","66.25","85.10","36","66","13.14","0.00","8.93","2.98","334"
"2025-06-04 00:01","2025-06-04 00:23",,"22","206 North Water Street, Corpus Christi, Texas 78401, United States",,"27.792583","-97.393620","58057.50","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741674","-97.388940","58062.69","55","51","64.40","86.25","27","44","9.37","0.00","5.18","2.16","417"
"2025-06-04 03:56","2025-06-04 03:57",,"1","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741655","-97.388930","58062.70","1049 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741774","-97.388855","58062.73","50","50","79.84","86.00","4","8","0.17","0.00","0.03","0.06","2000"
"2025-06-04 20:10","2025-06-04 20:10",,"0","1049 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741777","-97.388850","58062.75","1049 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741777","-97.388850","58062.75","45","45","106.61","87.80","0","0","0.00","0.00","0.00","0.00",
"2025-06-04 20:10","2025-06-04 20:11",,"1","1049 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741777","-97.388850","58062.75","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741673","-97.388940","58062.79","45","45","103.53","87.80","3","3","0.17","0.00","0.04","0.02","500"
"2025-06-04 21:32","2025-06-04 21:32",,"0","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741673","-97.388940","58062.81","1049 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741800","-97.388810","58062.82","37","37","75.11","91.40","0","0","0.00","0.00","0.01","0.04","4000"
"2025-06-05 19:06","2025-06-05 19:07",,"0","1049 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741793","-97.388820","58062.82","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741673","-97.388950","58062.84","31","31","113.00","89.60","2","2","0.17","0.00","0.01","0.02","2000"
"2025-06-05 19:07","2025-06-05 19:07",,"0","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741673","-97.388950","58062.84","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741673","-97.388950","58062.84","31","31","106.16","88.39","2","2","0.00","0.00","0.00","0.06",
"2025-06-05 19:22","2025-06-05 19:22",,"0","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741653","-97.388940","58062.84","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741653","-97.388940","58062.84","29","29","64.76","93.20","0","0","0.17","0.00","0.00","0.04",
"2025-06-05 19:37","2025-06-05 19:37",,"0","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741661","-97.388950","58062.84","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741661","-97.388950","58062.84","27","27","75.56","92.30","0","0","0.00","0.00","0.00","0.00",
"2025-06-05 19:37","2025-06-05 19:38",,"0","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741661","-97.388950","58062.84","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741661","-97.388950","58062.84","27","27","75.56","92.30","0","0","0.17","0.00","0.00","0.04",
"2025-06-05 19:38","2025-06-05 19:39",,"1","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741661","-97.388950","58062.84","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741661","-97.388950","58062.84","27","27","77.95","92.30","0","0","0.00","0.00","0.00","0.04",
"2025-06-05 22:10","2025-06-05 22:10",,"0","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741674","-97.388950","58062.84","1053 Herndon Street, Corpus Christi, Texas 78411, United States",,"27.741674","-97.388950","58062.84","22","22","90.32","88.70","0","0","0.00","0.00","0.00","0.00",
