Timestamp (UTC),Front Left Tire Pressure (Bar)
"2025-06-25 00:56:05","2.900"
"2025-06-25 03:05:35","2.875"
"2025-06-25 03:58:33","2.875"
"2025-06-25 05:43:10","2.850"
"2025-06-25 07:00:56","2.725"
"2025-06-25 16:07:18","2.825"
"2025-06-25 20:02:18","2.825"
"2025-06-25 22:12:15","2.900"
"2025-06-26 00:28:23","2.900"
"2025-06-26 01:59:53","2.925"
"2025-06-26 02:20:25","2.850"
"2025-06-26 04:48:55","2.725"
"2025-06-26 06:18:53","2.700"
"2025-06-26 17:06:13","2.700"
"2025-06-26 17:43:52","2.700"
"2025-06-26 19:20:43","2.800"
"2025-06-26 21:02:07","2.875"
"2025-06-26 22:26:19","2.850"
"2025-06-26 22:55:05","2.875"
"2025-06-27 00:29:49","2.850"
"2025-06-27 02:41:34","2.775"
"2025-06-27 03:11:30","2.750"
"2025-06-27 04:58:04","2.700"
"2025-06-27 06:24:18","2.600"
"2025-06-27 07:41:24","2.575"
"2025-06-27 18:20:10","2.925"
"2025-06-27 18:37:37","2.875"
"2025-06-27 21:36:44","2.975"
"2025-06-27 23:22:17","3.000"
"2025-06-28 01:33:36","3.000"
"2025-06-28 03:17:02","2.900"
"2025-06-28 05:57:28","2.800"
"2025-06-28 06:23:21","2.775"
"2025-06-28 17:58:10","2.900"
"2025-06-28 19:32:08","2.925"
"2025-06-28 21:35:50","2.975"
"2025-06-28 22:14:52","2.900"
"2025-06-28 23:01:41","2.950"
"2025-06-29 02:38:14","2.800"
"2025-06-29 05:56:45","2.825"
"2025-06-29 06:23:12","2.750"
"2025-06-29 06:35:10","2.750"
"2025-06-29 16:37:52","2.775"
"2025-06-29 16:59:17","2.800"
"2025-06-29 21:36:39","2.950"
"2025-06-29 23:16:46","3.050"
"2025-06-29 23:45:54","2.925"
"2025-06-30 01:20:36","3.025"
"2025-06-30 02:57:27","2.950"
"2025-06-30 04:13:51","2.925"
"2025-06-30 05:04:49","2.900"
"2025-06-30 18:14:06","2.950"
"2025-06-30 19:28:11","3.000"
"2025-06-30 19:56:25","2.900"
"2025-06-30 20:22:38","2.825"
"2025-06-30 22:03:55","3.000"
"2025-07-01 00:24:16","2.825"
"2025-07-01 02:02:58","2.850"
"2025-07-01 02:09:02","2.825"
"2025-07-01 03:14:00","2.825"
"2025-07-01 04:32:25","2.825"
"2025-07-01 14:45:38","2.700"
"2025-07-01 15:09:19","2.700"
"2025-07-01 15:51:45","2.850"
"2025-07-01 16:16:36","2.850"
"2025-07-01 19:04:30","2.925"
"2025-07-01 19:26:48","2.925"
"2025-07-01 20:02:04","2.925"
"2025-07-01 20:11:09","2.925"
"2025-07-01 21:15:15","2.900"
"2025-07-02 02:10:55","2.750"
"2025-07-02 04:07:49","2.700"
"2025-07-02 05:02:39","2.775"
"2025-07-02 05:48:23","2.725"
"2025-07-02 17:01:57","2.775"
"2025-07-02 18:36:57","2.900"
"2025-07-02 19:54:02","2.975"
"2025-07-02 21:36:06","2.975"
"2025-07-02 22:17:58","2.950"
"2025-07-02 23:23:37","2.950"
"2025-07-03 01:19:22","2.925"
"2025-07-03 18:25:43","2.750"
"2025-07-03 19:15:47","3.050"
"2025-07-03 21:09:28","3.100"
"2025-07-03 22:50:56","3.100"
"2025-07-04 01:57:22","3.075"
"2025-07-04 02:23:30","3.075"
"2025-07-04 03:22:42","3.075"
"2025-07-04 04:44:12","3.025"
"2025-07-04 06:50:51","2.950"
"2025-07-04 21:52:47","3.000"
"2025-07-05 04:50:53","2.950"
"2025-07-05 05:04:12","2.900"
"2025-07-05 07:17:32","2.925"
"2025-07-05 20:39:14","2.950"
"2025-07-05 23:13:34","2.975"
"2025-07-06 00:41:52","2.950"
"2025-07-06 02:29:28","3.000"
"2025-07-06 03:34:58","3.000"
"2025-07-06 04:19:55","2.950"
"2025-07-06 05:40:11","2.925"
"2025-07-06 20:36:16","2.925"
"2025-07-06 22:24:46","3.025"
"2025-07-06 22:47:38","3.025"
"2025-07-07 16:08:18","2.900"
"2025-07-08 00:15:21","2.850"
"2025-07-08 03:02:40","3.025"
"2025-07-08 05:16:43","2.950"
"2025-07-08 05:31:09","2.925"
"2025-07-08 23:02:45","2.900"
"2025-07-08 23:47:04","2.950"
"2025-07-09 01:06:38","2.975"
"2025-07-09 19:40:05","2.875"
"2025-07-09 21:39:22","2.975"
"2025-07-09 22:39:34","3.000"
"2025-07-10 00:04:39","3.025"
"2025-07-10 02:01:59","2.975"
"2025-07-10 02:56:38","2.975"
"2025-07-10 04:43:26","2.900"
"2025-07-10 15:22:45","2.775"
"2025-07-10 17:56:18","2.925"
"2025-07-10 19:13:18","3.050"
"2025-07-10 19:16:03","3.000"
"2025-07-10 20:11:40","3.000"
"2025-07-10 20:37:37","2.975"
"2025-07-10 22:20:57","2.975"
"2025-07-10 23:58:50","2.950"
"2025-07-11 02:14:01","3.025"
"2025-07-11 03:14:15","3.025"
"2025-07-11 04:58:47","2.950"
"2025-07-11 05:07:45","2.900"
"2025-07-11 18:13:20","2.750"
"2025-07-11 19:02:50","2.825"
"2025-07-11 20:05:04","2.900"
"2025-07-11 21:24:14","2.850"
"2025-07-11 21:59:38","2.950"
"2025-07-12 00:28:29","2.875"
"2025-07-12 03:03:23","3.000"
"2025-07-12 03:43:29","2.875"
"2025-07-12 04:33:32","2.800"
"2025-07-12 05:25:52","2.800"
"2025-07-12 16:56:26","2.750"
"2025-07-12 18:47:52","3.300"
"2025-07-12 20:59:38","3.300"
"2025-07-12 22:34:17","3.325"
"2025-07-13 00:19:39","3.300"
"2025-07-13 00:59:05","3.200"
"2025-07-13 18:52:21","3.200"
"2025-07-13 20:06:08","3.250"
"2025-07-13 21:15:59","3.200"
"2025-07-13 22:50:22","3.350"
"2025-07-14 02:25:52","3.150"
"2025-07-14 03:52:30","3.100"
"2025-07-14 04:36:47","3.050"
"2025-07-14 06:18:19","3.100"
"2025-07-14 18:06:27","3.125"
"2025-07-14 18:54:33","3.200"
"2025-07-14 19:40:23","3.200"
"2025-07-14 20:47:31","3.275"
"2025-07-14 21:12:34","3.275"
"2025-07-14 22:58:23","3.325"
"2025-07-14 23:35:17","3.325"
"2025-07-15 02:08:19","3.275"
"2025-07-15 02:58:35","3.275"
"2025-07-15 03:46:57","3.225"
"2025-07-15 04:47:06","3.200"
"2025-07-15 09:02:33","3.125"
"2025-07-15 09:31:56","3.075"
"2025-07-15 09:42:27","3.100"
"2025-07-15 13:33:55","3.075"
"2025-07-15 14:40:55","3.025"
"2025-07-15 20:02:06","3.275"
"2025-07-15 22:02:31","3.125"
"2025-07-15 23:10:04","3.250"
"2025-07-16 01:28:46","3.250"
