Timestamp (UTC),Front Right Tire Pressure (Bar)
"2025-06-25 00:56:05","2.800"
"2025-06-25 01:24:35","2.725"
"2025-06-25 03:05:05","2.775"
"2025-06-25 03:58:31","2.750"
"2025-06-25 05:42:39","2.725"
"2025-06-25 07:00:57","2.625"
"2025-06-25 16:07:18","2.700"
"2025-06-25 20:02:18","2.725"
"2025-06-25 22:12:15","2.800"
"2025-06-26 00:28:23","2.750"
"2025-06-26 01:59:53","2.775"
"2025-06-26 02:20:25","2.750"
"2025-06-26 04:48:56","2.600"
"2025-06-26 06:18:24","2.600"
"2025-06-26 17:06:43","2.600"
"2025-06-26 17:43:22","2.625"
"2025-06-26 19:20:44","2.700"
"2025-06-26 21:01:37","2.725"
"2025-06-26 22:26:49","2.725"
"2025-06-26 22:55:05","2.750"
"2025-06-27 00:29:49","2.700"
"2025-06-27 02:41:34","2.700"
"2025-06-27 03:11:30","2.650"
"2025-06-27 04:58:34","2.575"
"2025-06-27 06:24:18","2.500"
"2025-06-27 07:41:38","2.450"
"2025-06-27 18:20:10","2.725"
"2025-06-27 18:38:07","2.725"
"2025-06-27 21:36:45","2.850"
"2025-06-27 23:21:59","2.875"
"2025-06-28 01:33:08","2.875"
"2025-06-28 03:17:32","2.750"
"2025-06-28 05:57:28","2.650"
"2025-06-28 06:23:51","2.650"
"2025-06-28 17:58:12","2.750"
"2025-06-28 19:32:09","2.800"
"2025-06-28 21:35:51","2.850"
"2025-06-28 22:14:52","2.775"
"2025-06-28 23:01:22","2.775"
"2025-06-29 02:37:56","2.700"
"2025-06-29 05:56:15","2.700"
"2025-06-29 06:23:12","2.650"
"2025-06-29 06:35:10","2.625"
"2025-06-29 16:38:12","2.650"
"2025-06-29 16:59:15","2.675"
"2025-06-29 21:36:39","2.800"
"2025-06-29 23:17:16","2.875"
"2025-06-29 23:45:54","2.750"
"2025-06-30 01:20:36","2.850"
"2025-06-30 02:46:52","2.825"
"2025-06-30 02:57:27","2.825"
"2025-06-30 04:13:22","2.750"
"2025-06-30 05:04:49","2.750"
"2025-06-30 18:13:35","2.800"
"2025-06-30 22:03:36","2.875"
"2025-07-01 00:24:28","2.675"
"2025-07-01 02:02:58","2.700"
"2025-07-01 02:09:33","2.650"
"2025-07-01 03:13:59","2.675"
"2025-07-01 04:32:25","2.625"
"2025-07-01 14:45:38","2.525"
"2025-07-01 15:09:09","2.475"
"2025-07-01 15:51:44","2.550"
"2025-07-01 16:16:35","2.600"
"2025-07-01 19:04:19","2.675"
"2025-07-01 19:27:17","2.675"
"2025-07-01 20:01:33","2.675"
"2025-07-01 20:10:38","2.675"
"2025-07-01 21:14:45","2.650"
"2025-07-02 02:11:26","2.475"
"2025-07-02 04:07:49","2.450"
"2025-07-02 05:02:37","2.475"
"2025-07-02 05:48:34","2.425"
"2025-07-02 17:01:59","2.400"
"2025-07-02 18:36:59","2.550"
"2025-07-02 19:54:03","2.575"
"2025-07-02 21:36:06","2.600"
"2025-07-02 22:18:28","2.550"
"2025-07-02 23:23:07","2.575"
"2025-07-03 01:19:22","2.575"
"2025-07-03 18:26:13","2.325"
"2025-07-03 19:15:48","3.075"
"2025-07-03 21:09:28","3.125"
"2025-07-03 22:50:27","3.075"
"2025-07-04 01:57:21","3.025"
"2025-07-04 02:23:28","3.000"
"2025-07-04 03:22:12","3.000"
"2025-07-04 04:43:41","2.975"
"2025-07-04 06:51:22","2.900"
"2025-07-04 21:52:48","2.850"
"2025-07-05 04:50:54","2.825"
"2025-07-05 05:04:11","2.750"
"2025-07-05 07:18:02","2.775"
"2025-07-05 20:39:15","2.725"
"2025-07-05 23:13:34","2.700"
"2025-07-06 00:42:23","2.700"
"2025-07-06 02:28:57","2.700"
"2025-07-06 03:34:58","2.700"
"2025-07-06 04:19:57","2.650"
"2025-07-06 05:40:41","2.650"
"2025-07-06 20:35:46","2.550"
