Timestamp (UTC),Rear Left Tire Pressure (Bar)
"2025-06-25 00:56:04","2.925"
"2025-06-25 01:24:33","2.725"
"2025-06-25 03:05:36","2.900"
"2025-06-25 03:58:32","2.875"
"2025-06-25 05:42:39","2.875"
"2025-06-25 07:00:55","2.675"
"2025-06-25 16:07:48","2.850"
"2025-06-25 20:02:18","2.825"
"2025-06-25 22:12:46","2.925"
"2025-06-26 00:28:54","2.900"
"2025-06-26 01:59:53","2.925"
"2025-06-26 02:20:55","2.850"
"2025-06-26 04:48:55","2.700"
"2025-06-26 06:18:53","2.725"
"2025-06-26 17:06:13","2.675"
"2025-06-26 17:43:22","2.625"
"2025-06-26 19:21:14","2.800"
"2025-06-26 19:38:46","2.750"
"2025-06-26 21:01:37","2.850"
"2025-06-26 22:26:49","2.825"
"2025-06-26 22:55:23","2.850"
"2025-06-27 00:29:49","2.850"
"2025-06-27 02:41:38","2.800"
"2025-06-27 03:11:30","2.800"
"2025-06-27 04:58:34","2.700"
"2025-06-27 06:24:18","2.625"
"2025-06-27 07:41:38","2.550"
"2025-06-27 18:19:40","2.900"
"2025-06-27 18:37:38","2.850"
"2025-06-27 21:36:14","2.950"
"2025-06-27 23:22:27","3.000"
"2025-06-28 01:33:12","2.975"
"2025-06-28 03:17:33","2.900"
"2025-06-28 05:57:28","2.750"
"2025-06-28 06:23:21","2.725"
"2025-06-28 17:58:41","2.850"
"2025-06-28 19:32:09","2.900"
"2025-06-28 21:36:19","2.950"
"2025-06-28 22:14:22","2.850"
"2025-06-28 23:01:52","2.875"
"2025-06-29 02:37:55","2.800"
"2025-06-29 05:56:45","2.800"
"2025-06-29 06:23:12","2.750"
"2025-06-29 06:35:10","2.725"
"2025-06-29 16:38:11","2.750"
"2025-06-29 16:59:47","2.775"
"2025-06-29 20:03:37","2.800"
"2025-06-29 21:36:28","2.950"
"2025-06-29 23:16:47","3.000"
"2025-06-29 23:45:54","2.900"
"2025-06-30 01:21:06","3.000"
"2025-06-30 02:47:22","2.950"
"2025-06-30 02:56:57","2.950"
"2025-06-30 04:13:41","2.850"
"2025-06-30 05:05:19","2.850"
"2025-06-30 18:14:05","2.950"
"2025-06-30 19:28:11","2.950"
"2025-06-30 19:56:55","2.900"
"2025-06-30 20:23:07","2.800"
"2025-06-30 22:03:37","3.025"
"2025-07-01 00:24:19","2.850"
"2025-07-01 02:02:58","2.825"
"2025-07-01 02:09:34","2.800"
"2025-07-01 03:13:59","2.800"
"2025-07-01 04:32:55","2.800"
"2025-07-01 14:45:38","2.700"
"2025-07-01 15:08:49","2.700"
"2025-07-01 15:51:13","2.725"
"2025-07-01 16:16:35","2.800"
"2025-07-01 19:04:31","2.875"
"2025-07-01 19:27:37","2.850"
"2025-07-01 20:01:33","2.825"
"2025-07-01 20:11:07","2.825"
"2025-07-01 21:15:04","2.850"
"2025-07-02 02:10:55","2.700"
"2025-07-02 04:08:08","2.700"
"2025-07-02 05:02:38","2.750"
"2025-07-02 05:48:35","2.675"
"2025-07-02 17:02:16","2.775"
"2025-07-02 18:36:57","2.900"
"2025-07-02 19:54:31","2.925"
"2025-07-02 21:36:06","2.950"
"2025-07-02 22:18:30","2.850"
"2025-07-02 23:23:07","2.925"
"2025-07-03 01:19:22","2.900"
"2025-07-03 18:26:14","2.725"
"2025-07-03 19:15:47","3.100"
"2025-07-03 21:09:29","3.150"
"2025-07-03 22:50:56","3.150"
"2025-07-04 01:57:21","3.125"
"2025-07-04 02:23:28","3.050"
"2025-07-04 03:22:42","3.125"
"2025-07-04 04:43:42","3.050"
"2025-07-04 06:50:52","3.000"
"2025-07-04 21:52:48","3.025"
"2025-07-05 04:50:23","3.000"
"2025-07-05 05:04:41","2.925"
"2025-07-05 07:18:02","2.950"
"2025-07-05 20:39:14","2.950"
"2025-07-05 23:13:33","2.950"
"2025-07-06 00:42:22","2.975"
"2025-07-06 02:28:58","3.000"
"2025-07-06 03:35:28","3.000"
"2025-07-06 04:19:36","2.975"
"2025-07-06 05:40:11","2.950"
"2025-07-06 20:36:16","2.975"
"2025-07-06 22:24:17","3.000"
"2025-07-06 22:47:37","3.000"
"2025-07-07 16:08:48","2.925"
"2025-07-08 00:15:18","2.875"
"2025-07-08 03:03:10","3.025"
"2025-07-08 05:16:44","2.950"
"2025-07-08 05:30:40","2.975"
"2025-07-08 23:02:56","2.950"
"2025-07-08 23:47:05","2.975"
"2025-07-09 01:06:38","3.050"
"2025-07-09 19:40:05","2.900"
"2025-07-09 21:39:52","3.050"
"2025-07-09 22:39:34","3.050"
"2025-07-10 00:04:38","3.075"
"2025-07-10 02:02:29","3.050"
"2025-07-10 02:57:09","3.075"
"2025-07-10 04:43:25","2.950"
"2025-07-10 15:22:46","2.800"
"2025-07-10 17:55:48","2.950"
"2025-07-10 19:13:18","3.025"
