Timestamp (UTC),Rear Right Tire Pressure (Bar)
"2025-06-26 00:28:23","3.000"
"2025-06-26 02:00:27","3.025"
"2025-06-26 02:20:56","2.950"
"2025-06-26 04:48:55","2.825"
"2025-06-26 06:18:23","2.800"
"2025-06-26 17:06:13","2.800"
"2025-06-26 17:43:21","2.750"
"2025-06-26 19:20:43","2.900"
"2025-06-26 19:38:47","2.850"
"2025-06-26 21:02:07","2.950"
"2025-06-26 22:26:19","2.950"
"2025-06-26 22:55:04","2.975"
"2025-06-27 00:30:19","2.950"
"2025-06-27 02:42:05","2.900"
"2025-06-27 03:11:30","2.900"
"2025-06-27 04:58:33","2.825"
"2025-06-27 06:24:48","2.725"
"2025-06-27 07:41:05","2.650"
"2025-06-27 18:19:40","2.975"
"2025-06-27 18:37:38","2.925"
"2025-06-27 21:36:44","3.050"
"2025-06-27 21:44:20","3.000"
"2025-06-27 23:22:27","3.125"
"2025-06-28 01:33:08","3.075"
"2025-06-28 03:17:02","2.975"
"2025-06-28 05:57:59","2.875"
"2025-06-28 06:23:51","2.825"
"2025-06-28 17:58:40","2.950"
"2025-06-28 19:32:38","3.000"
"2025-06-28 21:36:19","3.075"
"2025-06-28 22:14:52","3.000"
"2025-06-28 23:01:22","2.975"
"2025-06-29 02:38:25","2.900"
"2025-06-29 05:56:16","2.925"
"2025-06-29 06:23:12","2.850"
"2025-06-29 06:35:40","2.850"
"2025-06-29 16:37:52","2.850"
"2025-06-29 16:59:16","2.900"
"2025-06-29 21:36:38","3.050"
"2025-06-29 23:17:17","3.125"
"2025-06-29 23:46:24","3.000"
"2025-06-30 01:21:06","3.100"
"2025-06-30 02:47:22","3.025"
"2025-06-30 02:56:57","3.050"
"2025-06-30 04:13:22","2.950"
"2025-06-30 05:05:19","2.950"
"2025-06-30 18:14:06","3.050"
"2025-06-30 19:28:11","3.075"
"2025-06-30 19:56:55","3.000"
"2025-06-30 20:22:37","2.900"
"2025-06-30 22:04:06","3.100"
"2025-07-01 00:24:48","2.925"
"2025-07-01 02:02:46","2.950"
"2025-07-01 02:09:33","2.925"
"2025-07-01 03:14:29","2.950"
"2025-07-01 04:32:24","2.900"
"2025-07-01 14:45:38","2.825"
"2025-07-01 15:08:49","2.825"
"2025-07-01 15:51:46","2.800"
"2025-07-01 16:16:35","2.850"
"2025-07-01 19:04:29","3.000"
"2025-07-01 19:27:17","3.000"
"2025-07-01 20:02:03","2.950"
"2025-07-01 20:11:07","2.950"
"2025-07-01 21:14:45","2.950"
"2025-07-02 02:10:55","2.850"
"2025-07-02 04:07:50","2.800"
"2025-07-02 05:02:38","2.850"
"2025-07-02 05:48:04","2.775"
"2025-07-02 17:02:21","2.800"
"2025-07-02 18:36:57","3.000"
"2025-07-02 19:54:32","3.050"
"2025-07-02 21:36:06","3.075"
"2025-07-02 22:17:59","2.925"
"2025-07-02 23:23:08","3.025"
"2025-07-03 01:18:52","3.025"
"2025-07-03 18:26:13","2.825"
"2025-07-03 19:16:06","3.125"
"2025-07-03 21:08:58","3.225"
"2025-07-03 22:50:26","3.175"
"2025-07-04 01:57:22","3.150"
"2025-07-04 02:23:46","3.050"
"2025-07-04 03:22:12","3.125"
"2025-07-04 04:43:41","3.075"
"2025-07-04 06:51:22","3.000"
"2025-07-04 21:52:50","3.025"
"2025-07-05 04:50:23","3.025"
"2025-07-05 05:04:11","2.975"
"2025-07-05 07:17:32","2.975"
"2025-07-05 20:39:15","3.000"
"2025-07-05 23:13:33","2.950"
"2025-07-06 00:42:22","2.975"
"2025-07-06 02:29:27","3.025"
"2025-07-06 03:34:59","3.025"
"2025-07-06 04:20:06","3.000"
"2025-07-06 05:40:11","2.975"
"2025-07-06 20:36:16","3.000"
"2025-07-06 22:24:16","3.000"
"2025-07-06 22:47:38","3.050"
"2025-07-07 09:45:11","2.800"
"2025-07-07 12:08:18","2.775"
"2025-07-07 16:08:48","2.900"
"2025-07-08 00:15:48","2.900"
"2025-07-08 03:03:10","3.050"
"2025-07-08 05:17:14","2.975"
"2025-07-08 05:31:10","3.000"
"2025-07-08 23:02:26","2.950"
"2025-07-08 23:47:06","2.975"
"2025-07-09 01:06:08","3.025"
"2025-07-09 19:39:35","2.900"
"2025-07-09 21:39:22","3.050"
"2025-07-09 22:39:34","3.050"
"2025-07-10 00:04:40","3.075"
"2025-07-10 02:02:00","3.050"
"2025-07-10 02:57:09","3.075"
"2025-07-10 04:43:25","2.950"
"2025-07-10 15:15:17","2.800"
"2025-07-10 17:55:48","2.950"
"2025-07-10 19:13:49","3.000"
"2025-07-10 19:17:56","3.000"
"2025-07-10 20:11:10","3.050"
"2025-07-10 20:37:07","3.000"
"2025-07-10 22:20:39","2.975"
"2025-07-10 23:58:50","2.950"
"2025-07-11 02:13:31","3.000"
"2025-07-11 03:14:16","3.000"
"2025-07-11 04:59:17","2.950"
"2025-07-11 05:08:15","2.900"
"2025-07-11 18:13:38","2.750"
"2025-07-11 19:02:20","2.850"
"2025-07-11 20:05:37","2.875"
"2025-07-11 21:24:14","2.825"
"2025-07-11 21:59:40","2.900"
"2025-07-12 00:28:29","2.875"
"2025-07-12 03:03:23","2.975"
"2025-07-12 03:43:00","2.875"
"2025-07-12 04:33:03","2.800"
"2025-07-12 05:25:53","2.800"
"2025-07-12 18:47:53","3.250"
"2025-07-12 20:59:09","3.225"
"2025-07-12 22:34:16","3.300"
"2025-07-13 00:19:39","3.250"
"2025-07-13 00:58:35","3.150"
"2025-07-13 18:52:21","3.000"
"2025-07-13 20:06:39","3.025"
"2025-07-13 21:15:58","3.050"
"2025-07-13 22:50:52","3.150"
"2025-07-14 02:26:22","3.000"
"2025-07-14 03:52:31","2.925"
"2025-07-14 04:36:47","2.875"
